event_idx,N,best_energy,mean_energy,std_energy,min_energy,build_time,solve_time,avg_time_per_run,is_feasible,violation_rate,solver,n_steps,n_runs,n_evals
40,14,14.098737088738616,45.125943247188445,15.513603079224914,14.098737088738616,6.604194641113281e-05,4.56760311126709,0.456760311126709,True,0.0,Kaiwu_SA,10000,10,100000
41,12,4.030170696673393,4.030170696673393,0.0,4.030170696673393,5.2928924560546875e-05,4.4388649463653564,0.4438864946365356,True,0.0,Kaiwu_SA,10000,10,100000
42,15,43.829432182686105,93.93124261702002,40.08850480387964,43.829432182686105,6.985664367675781e-05,5.407409906387329,0.5407409906387329,True,0.0,Kaiwu_SA,10000,10,100000
43,15,66.60788893330862,68.15081457316263,3.0910902089227106,66.60788893330862,0.0002779960632324219,4.504056930541992,0.4504056930541992,True,0.0,Kaiwu_SA,10000,10,100000
44,13,19.606544229637876,36.680336137512974,5.691263969291701,19.606544229637876,5.7220458984375e-05,5.121407985687256,0.5121407985687256,True,0.0,Kaiwu_SA,10000,10,100000
45,14,45.21679506945008,70.95124228518317,31.51813224556667,45.21679506945008,6.818771362304688e-05,4.968157052993774,0.49681570529937746,True,0.0,Kaiwu_SA,10000,10,100000
46,13,6.700638450071192,12.514102048459652,7.643622046835929,6.700638450071192,5.984306335449219e-05,4.830425024032593,0.4830425024032593,True,0.0,Kaiwu_SA,10000,10,100000
47,14,18.090721262615176,18.090721262615176,0.0,18.090721262615176,6.4849853515625e-05,4.542662858963013,0.45426628589630125,True,0.0,Kaiwu_SA,10000,10,100000
48,15,30.961331627391445,36.32046521049621,2.6795667915523835,30.961331627391445,7.390975952148438e-05,5.389542102813721,0.538954210281372,True,0.0,Kaiwu_SA,10000,10,100000
49,14,40.31753893267781,43.85581800040523,2.856787341183718,40.31753893267781,0.00031495094299316406,4.643465042114258,0.46434650421142576,True,0.0,Kaiwu_SA,10000,10,100000
